key,sample,location,location_code,state,state_code,location_macro,location_macro_code,beach_or_area,area_type,coord_lat,coord_lon,status,age_class,sex,previous_assignment,carapace_length_metres,carapace_width_metres,weight_kg,collection_date,library,extracted_from,source,obs,method,rg_id,rg_pl,rg_pm
0,8,Fernando de Noronha,FDN,Pernambuco,PE,Brazil,BR,Leão,feeding,,,,,F,cm,1.06,1.025,,2005-09-01T00:00:00-02:00,default,tissue,vilaca_2022,,ddRAD,NB500882.24.HVM3VBGXX.1,ILLUMINA,NextSeq 500
1,15,Pipa,PIP,Rio Grande do Norte,RN,Brazil,BR,Praia das Minas,nesting,,,,,F,ei,,,,2013-02-12T00:00:00-03:00,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
2,49,Fernando de Noronha,FDN,Pernambuco,PE,Brazil,BR,Leão,feeding,,,,,F,cm,1.15,1.04,,2006-03-03T00:00:00-02:00,default,tissue,vilaca_2022,,ddRAD,NB500882.24.HVM3VBGXX.1,ILLUMINA,NextSeq 500
3,66,Fernando de Noronha,FDN,Pernambuco,PE,Brazil,BR,Leão,feeding,,,,,F,cm,1.2,1.12,,2006-03-11T00:00:00-02:00,default,tissue,vilaca_2022,,ddRAD,NB500882.24.HVM3VBGXX.1,ILLUMINA,NextSeq 500
4,96,Fernando de Noronha,FDN,Pernambuco,PE,Brazil,BR,Bode,feeding,,,,,F,cm,1.02,0.94,,2006-03-30T00:00:00-02:00,default,tissue,vilaca_2022,,ddRAD,M01271.64.000000000-AHV8V.1,ILLUMINA,NextSeq 500
5,112,Guriri,GUR,Espírito Santo,ES,Brazil,BR,Barra Nova,nesting,,,,,,cc,1.03,0.93,,2004-11-26T01:41:00-03:00,default,tissue,arantes_unpublished,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
6,122,Pirambu,PIR,Sergipe,SE,Brazil,BR,Pirambu,nesting,,,,,F,lo,0.71,0.705,42.2,2005-05-10T00:00:00-03:00,default,tissue,arantes_unpublished,,ddRAD,NB500882.24.HVM3VBGXX.1,ILLUMINA,NextSeq 500
7,135,Pipa,PIP,Rio Grande do Norte,RN,Brazil,BR,Praia das Minas,nesting,,,,,F,ei,,,,2013-01-10T22:05:00-03:00,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
8,137,Pipa,PIP,Rio Grande do Norte,RN,Brazil,BR,Praia das Minas,nesting,,,,,F,ei,,,,2013-01-14T00:00:00-03:00,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
9,166,Praia de Guanabara,PGA,Espírito Santo,ES,Brazil,BR,Praia de Guanabara,nesting,,,,,,cc,0.99,0.93,,2004-12-22T20:27:00-03:00,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
10,183,Comboios,CMB,Espírito Santo,ES,Brazil,BR,Comboios,nesting,,,,,,cc,,,,2012-11-02T00:00:00-03:00,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
11,198,Pipa,PIP,Rio Grande do Norte,RN,Brazil,BR,Sibaúma,nesting,,,,,F,ei,,,,2013-01-20T21:35:00-03:00,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
12,208,Comboios,CMB,Espírito Santo,ES,Brazil,BR,Comboios,nesting,,,,,,cc,,,,2012-11-04T00:00:00-03:00,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
13,218,Povoação,POV,Espírito Santo,ES,Brazil,BR,Povoação,nesting,,,,,,cc,0.965,0.855,,2008-11-07T20:13:00-03:00,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
14,221,Praia do Forte,PDF,Bahia,BA,Brazil,BR,Praia do Forte,nesting,,,,,F,cc,0.951,0.877,,2007-11-19T22:00:00-03:00,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
15,229,Povoação,POV,Espírito Santo,ES,Brazil,BR,Povoação,nesting,,,,,,cc,,,,2012-11-06T00:29:00-03:00,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
16,237,Pipa,PIP,Rio Grande do Norte,RN,Brazil,BR,Praia das Minas,nesting,,,,,F,ei,,,,2013-01-29T21:05:00-03:00,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
17,239,Pipa,PIP,Rio Grande do Norte,RN,Brazil,BR,Praia das Minas,nesting,,,,,F,ei,,,,2013-01-30T19:05:00-03:00,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
18,244,Comboios,CMB,Espírito Santo,ES,Brazil,BR,Comboios,nesting,,,,,,cc,,,,2012-11-06T00:00:00-03:00,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
19,250,Pirambu,PIR,Sergipe,SE,Brazil,BR,Lagoa,nesting,,,,,F,lo,0.7,0.71,40,2005-10-26T00:00:00-03:00,default,tissue,arantes_unpublished,,ddRAD,NB500882.24.HVM3VBGXX.1,ILLUMINA,NextSeq 500
20,275,Praia do Forte,PDF,Bahia,BA,Brazil,BR,Praia do Forte,nesting,,,,,F,ei,0.965,0.887,91.2,2005-11-01T20:30:00-03:00,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
21,278,Povoação,POV,Espírito Santo,ES,Brazil,BR,Povoação,nesting,,,,,,cc,0.935,0.845,,2012-12-11T00:00:00-03:00,default,tissue,vilaca_2022,,ddRAD,NB500882.24.HVM3VBGXX.1,ILLUMINA,NextSeq 500
22,298,Povoação,POV,Espírito Santo,ES,Brazil,BR,Povoação,nesting,,,,,,cc,1.05,0.935,,2013-11-14T00:00:00-03:00,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
23,323,Comboios,CMB,Espírito Santo,ES,Brazil,BR,Comboios,nesting,,,,,,cc,,,,2012-11-11T00:00:00-03:00,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
24,333,Pipa,PIP,Rio Grande do Norte,RN,Brazil,BR,Chapadão,nesting,,,,,F,ei,,,,2013-02-06T00:55:00-03:00,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
25,335,Povoação,POV,Espírito Santo,ES,Brazil,BR,Povoação,nesting,,,,,,cc,0.935,0.85,,2012-11-18T00:20:00-03:00,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
26,363,Comboios,CMB,Espírito Santo,ES,Brazil,BR,Comboios,nesting,,,,,,cc,,,,2012-11-17T00:00:00-03:00,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
27,397,Pipa,PIP,Rio Grande do Norte,RN,Brazil,BR,Praia das Minas,nesting,,,,,F,ei,,,,2013-02-12T00:00:00-03:00,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
